,TeamID,OppID,W,TScore,OScore,TFGM,TFGA,TFGM3,TFGA3,TFTM,TFTA,TOR,TDR,TAst,TTO,TStl,TBlk,TPF,OFGM,OFGA,OFGM3,OFGA3,OFTM,OFTA,OOR,ODR,OAst,OTO,OStl,OBlk,OPF
0,1272,1104,0,70.0,73.5,23.5,53.5,5.5,18.0,16.0,22.0,11.0,23.0,13.0,14.0,6.0,4.0,16.0,25.5,55.5,6.0,21.0,15.0,23.0,9.0,26.0,12.5,13.5,7.0,6.0,19.0
1,1233,1107,0,82.0,73.0,29.0,58.0,9.0,23.0,12.0,17.0,9.0,24.0,18.0,12.0,7.0,3.0,17.0,26.0,57.0,6.0,16.0,15.0,19.0,11.0,25.0,12.0,12.0,4.0,2.0,16.0
2,1112,1319,1,79.5,63.0,29.0,57.0,7.0,18.0,14.5,20.0,10.5,26.5,15.0,12.0,4.0,4.0,18.0,22.0,56.0,5.0,16.0,16.5,24.0,10.0,23.0,9.5,14.5,6.0,3.0,19.5
3,1226,1113,0,71.0,81.0,26.0,55.0,7.5,22.0,12.0,19.5,6.0,24.5,11.5,13.0,6.0,2.0,17.5,27.0,61.0,9.0,25.0,20.0,25.0,8.0,25.0,14.0,11.0,6.0,3.0,18.0
4,1359,1116,0,74.0,80.0,26.5,58.5,8.5,25.5,13.0,17.0,7.5,22.0,15.0,13.5,7.0,2.0,16.0,28.5,61.0,8.0,19.0,14.0,22.0,9.0,23.5,13.5,11.0,6.0,4.5,20.0
5,1120,1313,1,80.5,74.0,26.5,61.0,9.0,26.0,20.0,25.0,12.0,25.0,15.0,12.0,7.0,5.0,20.0,26.5,61.0,8.0,21.5,12.5,17.5,11.0,25.0,13.0,15.0,5.0,3.0,21.0
6,1124,1146,1,70.0,80.0,26.0,59.0,5.0,17.0,15.0,19.0,12.0,26.0,13.0,14.0,6.0,4.0,19.0,26.5,62.0,7.5,22.5,17.0,23.5,9.5,26.0,16.0,14.0,6.0,4.5,19.5
7,1127,1288,1,67.0,70.0,24.0,56.0,8.0,20.0,10.0,17.0,9.0,25.0,11.0,11.0,5.0,4.0,17.0,25.0,58.0,5.0,15.0,18.0,25.0,14.0,23.0,11.0,14.0,7.0,2.0,19.0
8,1263,1130,0,66.0,79.0,23.0,58.5,6.0,21.5,12.0,17.0,9.0,24.5,11.5,16.0,6.0,3.0,19.5,26.5,60.5,9.0,23.0,13.5,19.0,10.0,26.0,14.5,13.0,5.0,3.0,16.5
9,1180,1132,0,72.0,76.5,26.0,58.0,7.0,20.5,12.0,18.5,10.5,25.0,11.0,12.0,5.0,4.0,16.5,26.0,62.0,7.5,21.5,16.0,22.5,11.5,27.0,12.0,12.5,5.5,2.0,18.5
