,TeamID,OppID,W,TScore,OScore,TFGM,TFGA,TFGM3,TFGA3,TFTM,TFTA,TOR,TDR,TAst,TTO,TStl,TBlk,TPF,OFGM,OFGA,OFGM3,OFGA3,OFTM,OFTA,OOR,ODR,OAst,OTO,OStl,OBlk,OPF
76636,1272,1104,0,70,82,23,60,2,17,22,36,19,24,7,17,7,3,22,26,57,11,27,19,28,13,27,16,16,8,7,30
76637,1233,1107,0,67,69,26,59,4,22,11,14,7,20,14,7,6,3,21,24,62,4,15,17,19,19,28,6,13,1,0,16
76638,1112,1319,1,101,67,34,57,5,13,28,32,12,31,21,11,6,6,23,23,58,4,13,17,30,12,11,11,13,3,1,24
76639,1226,1113,0,74,94,26,59,9,24,13,22,8,21,17,14,6,2,20,34,65,9,30,17,26,12,29,22,11,3,5,18
76640,1359,1116,0,56,95,20,61,8,29,8,15,15,17,12,19,6,1,20,36,63,9,22,14,22,7,28,28,11,7,6,18
76641,1120,1313,1,102,74,35,63,8,22,24,30,9,33,17,16,8,9,21,21,61,12,34,20,27,9,20,15,16,11,3,26
76642,1124,1146,1,107,66,39,59,12,17,17,20,8,34,29,16,5,3,16,25,63,6,20,10,15,7,14,15,12,4,4,19
76643,1127,1288,1,76,59,26,57,10,21,14,21,10,31,11,20,7,7,21,22,65,4,15,11,15,14,25,9,18,10,2,20
76644,1263,1130,0,65,85,21,59,11,32,12,21,8,24,13,11,1,2,20,33,68,4,18,15,19,14,37,13,8,4,5,18
76645,1180,1132,0,69,78,23,56,4,20,19,26,11,24,7,19,5,4,24,26,54,9,22,17,27,8,25,14,17,9,2,21
76646,1139,1244,1,82,64,32,64,6,25,12,23,11,28,17,11,9,6,18,22,54,9,18,11,19,6,24,9,17,7,0,19
76647,1366,1153,0,77,107,26,74,13,44,12,16,7,25,19,17,11,4,24,41,86,13,39,12,24,25,40,24,20,7,4,17
76648,1441,1155,0,57,85,22,56,6,16,7,14,8,24,9,20,5,2,21,27,54,6,14,25,31,8,31,14,15,11,5,17
76649,1373,1158,0,60,68,23,60,4,14,10,14,11,40,9,24,3,8,25,23,70,5,25,17,26,12,28,10,6,7,4,16
76650,1294,1160,0,51,66,20,62,6,37,5,11,9,29,4,13,5,4,22,25,57,5,17,11,25,9,36,12,13,3,3,19
76651,1170,1161,0,61,72,19,60,7,26,16,22,11,30,7,12,2,4,22,24,63,4,17,20,25,13,35,8,9,6,3,19
76652,1159,1163,0,58,70,20,52,8,29,10,15,6,26,11,14,4,2,16,23,61,6,20,18,19,12,29,12,9,5,5,16
76653,1463,1166,0,76,92,30,66,8,27,8,10,9,24,19,13,6,1,14,40,68,8,25,4,10,8,28,20,11,7,4,12
76654,1172,1149,1,110,62,35,70,26,53,14,17,10,31,29,1,6,1,12,25,62,6,24,6,10,9,26,11,14,1,1,17
76655,1173,1123,1,78,77,28,58,4,16,18,23,7,31,14,11,5,2,15,31,67,9,27,6,8,7,28,15,12,4,3,19
76656,1174,1350,1,76,63,26,46,5,15,19,29,5,25,15,11,9,2,18,21,50,4,21,17,22,7,19,9,15,8,3,22
76657,1189,1181,0,68,97,25,63,14,33,4,7,7,23,10,15,3,1,12,41,74,12,25,3,11,15,33,21,12,7,3,16
76658,1184,1349,1,73,72,25,65,6,27,17,19,13,30,12,13,4,1,20,21,58,8,28,22,32,12,28,12,13,4,2,23
76659,1191,1117,1,77,63,24,51,5,16,24,31,11,25,16,13,9,6,18,23,60,5,19,12,15,14,21,8,16,7,3,26
76660,1224,1203,0,75,84,23,65,10,26,19,25,14,23,8,12,6,1,25,31,58,5,17,17,26,11,30,19,15,4,10,19
76661,1204,1448,1,85,83,32,67,11,27,10,12,15,17,6,12,7,2,22,27,62,11,24,18,23,20,20,14,18,6,3,15
76662,1206,1248,1,67,65,26,55,7,20,8,17,7,26,13,11,8,3,10,27,64,11,31,0,4,12,26,16,14,6,2,18
76663,1208,1136,1,79,54,26,60,8,20,19,32,19,40,14,17,8,10,19,17,66,8,31,12,20,14,21,7,14,5,2,26
76664,1211,1411,1,97,69,35,72,11,25,16,22,20,37,21,14,8,2,23,26,72,4,21,13,23,15,20,5,10,9,3,21
76665,1197,1213,0,51,67,19,49,4,13,9,14,8,24,8,22,8,5,19,26,59,7,22,8,16,15,24,12,17,9,4,15
76666,1216,1148,1,85,84,31,63,10,30,13,20,8,24,15,11,4,4,22,29,56,11,21,15,26,8,27,14,15,4,4,18
76667,1115,1218,0,70,82,21,57,10,26,18,24,10,20,10,15,10,3,33,25,51,4,20,28,42,9,27,20,15,7,2,17
76668,1219,1456,1,100,66,37,61,8,15,18,25,10,28,16,9,10,1,25,20,53,5,22,21,27,10,19,4,15,3,9,20
76669,1220,1119,1,77,74,25,63,8,28,19,21,15,26,15,14,3,1,16,30,65,8,27,6,11,12,21,17,13,6,1,22
76670,1357,1221,0,64,69,25,57,4,20,10,18,17,27,14,20,4,2,14,25,52,9,23,10,15,3,21,11,15,5,2,23
76671,1270,1222,0,53,81,17,58,6,27,13,24,14,17,7,13,6,3,19,29,51,10,21,13,21,12,34,20,17,4,4,22
76672,1300,1227,0,55,65,23,54,5,12,4,6,11,25,12,22,5,3,21,23,56,6,22,13,18,11,21,13,13,8,3,14
76673,1228,1380,1,102,55,32,63,4,21,34,37,14,28,17,10,8,4,26,19,51,2,11,15,23,9,17,5,22,3,4,25
76674,1231,1232,0,69,90,21,45,4,18,23,33,8,17,12,19,10,3,18,29,49,17,26,15,18,5,22,15,19,9,2,24
76675,1234,1152,1,95,62,31,52,12,22,21,35,10,28,23,17,8,7,19,23,61,6,26,10,18,15,18,10,20,9,2,33
